"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","137.162","144.150","144.267","134.313","2.24M","-4.85%"
"Jun 30, 2021","144.150","143.660","146.836","136.255","11.42M","0.34%"
"Jun 29, 2021","143.660","137.676","149.127","137.277","897.75K","4.43%"
"Jun 28, 2021","137.570","132.563","139.490","130.009","14.53M","3.84%"
"Jun 27, 2021","132.482","126.821","132.619","124.713","14.12M","4.47%"
"Jun 26, 2021","126.814","125.174","129.356","118.782","12.97M","1.28%"
"Jun 25, 2021","125.213","134.549","138.384","124.375","14.51M","-6.94%"
"Jun 24, 2021","134.548","128.966","137.142","123.752","14.14M","4.33%"
"Jun 23, 2021","128.968","119.661","133.600","115.589","13.81M","7.87%"
"Jun 22, 2021","119.557","124.524","132.875","105.117","16.18M","-4.16%"
"Jun 21, 2021","124.743","154.862","155.416","124.068","15.67M","-19.42%"
"Jun 20, 2021","154.799","152.599","156.109","143.829","15.35M","1.46%"
"Jun 19, 2021","152.566","156.013","160.697","152.465","15.19M","-2.20%"
"Jun 18, 2021","156.000","167.148","167.324","151.669","510.79K","-6.60%"
"Jun 17, 2021","167.017","166.560","173.370","162.997","16.68M","0.28%"
"Jun 16, 2021","166.559","175.110","177.193","164.615","18.48M","-4.95%"
"Jun 15, 2021","175.224","179.862","181.109","172.326","20.00M","-2.60%"
"Jun 14, 2021","179.893","170.893","179.991","166.415","19.32M","5.30%"
"Jun 13, 2021","170.844","161.704","171.580","156.622","18.04M","5.70%"
"Jun 12, 2021","161.633","162.849","164.204","154.248","18.43M","-0.74%"
"Jun 11, 2021","162.833","168.024","173.750","160.621","16.76M","-3.09%"
"Jun 10, 2021","168.024","172.466","174.272","162.261","23.17M","-2.51%"
"Jun 09, 2021","172.355","160.652","173.048","152.487","26.91M","7.30%"
"Jun 08, 2021","160.628","161.954","164.331","145.856","2.82M","-0.81%"
"Jun 07, 2021","161.939","176.320","182.214","160.373","29.15M","-8.14%"
"Jun 06, 2021","176.290","172.991","179.832","172.357","29.28M","1.91%"
"Jun 05, 2021","172.990","178.615","185.398","167.796","29.03M","-3.15%"
"Jun 04, 2021","178.609","192.950","193.741","169.494","28.10M","-7.43%"
