"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.69061","0.74092","0.76724","0.67708","19.48M","-6.75%"
"Jun 30, 2021","0.74057","0.72418","0.74146","0.67116","17.01M","2.27%"
"Jun 29, 2021","0.72416","0.70172","0.75008","0.69452","20.47M","3.35%"
"Jun 28, 2021","0.70069","0.63681","0.71496","0.62958","21.62M","10.06%"
"Jun 27, 2021","0.63666","0.60105","0.63721","0.58238","12.19M","5.96%"
"Jun 26, 2021","0.60082","0.60380","0.62374","0.56849","19.95M","-0.79%"
"Jun 25, 2021","0.60562","0.66246","0.68234","0.59423","21.92M","-8.58%"
"Jun 24, 2021","0.66247","0.64252","0.68216","0.60950","16.53M","3.12%"
"Jun 23, 2021","0.64243","0.57617","0.65762","0.55435","26.75M","11.66%"
"Jun 22, 2021","0.57533","0.60327","0.64405","0.49743","47.83M","-4.69%"
"Jun 21, 2021","0.60364","0.79093","0.79694","0.60015","36.04M","-23.67%"
"Jun 20, 2021","0.79086","0.78913","0.79790","0.72485","14.27M","0.06%"
"Jun 19, 2021","0.79038","0.81313","0.82988","0.78495","8.49M","-2.80%"
"Jun 18, 2021","0.81313","0.87484","0.88251","0.78185","13.09M","-7.03%"
"Jun 17, 2021","0.87461","0.86708","0.89953","0.85155","9.68M","0.87%"
"Jun 16, 2021","0.86708","0.89488","0.94057","0.85671","16.91M","-3.12%"
"Jun 15, 2021","0.89500","0.91017","0.95851","0.88791","17.11M","-1.63%"
"Jun 14, 2021","0.90979","0.89626","0.93313","0.86733","17.20M","1.51%"
"Jun 13, 2021","0.89626","0.85087","0.90014","0.80891","22.15M","5.35%"
"Jun 12, 2021","0.85074","0.86322","0.89026","0.80336","19.39M","-1.47%"
"Jun 11, 2021","0.86345","0.93282","0.94890","0.85135","15.75M","-7.23%"
"Jun 10, 2021","0.93073","0.96568","0.98300","0.91195","18.68M","-3.56%"
"Jun 09, 2021","0.96510","0.95405","0.98060","0.92319","26.24M","1.08%"
"Jun 08, 2021","0.95481","0.95316","0.96764","0.83081","29.19M","0.18%"
"Jun 07, 2021","0.95306","1.05955","1.08283","0.94458","15.34M","-9.99%"
"Jun 06, 2021","1.05881","1.04123","1.07693","1.03070","10.03M","1.66%"
"Jun 05, 2021","1.04148","1.06815","1.13941","1.00940","17.67M","-2.54%"
"Jun 04, 2021","1.06862","1.18884","1.18890","1.02098","24.28M","-10.13%"
"Jun 03, 2021","1.18902","1.14752","1.23169","1.09455","33.62M","3.64%"
"Jun 02, 2021","1.14731","1.02643","1.22214","1.02008","77.90M","11.78%"
"Jun 01, 2021","1.02643","1.01959","1.05098","0.98267","18.46M","0.64%"
"May 31, 2021","1.01992","0.93624","1.02021","0.88874","21.00M","8.85%"
"May 30, 2021","0.93700","0.89881","0.98701","0.84301","18.14M","4.26%"
"May 29, 2021","0.89867","0.96473","1.00524","0.84497","25.03M","-6.84%"
"May 28, 2021","0.96466","1.09752","1.12044","0.92601","37.96M","-12.03%"
"May 27, 2021","1.09660","1.14894","1.18744","1.02366","33.29M","-4.54%"
"May 26, 2021","1.14870","0.97794","1.14899","0.96696","38.01M","17.48%"
"May 25, 2021","0.97776","0.98537","1.02856","0.88666","40.11M","-0.76%"
"May 24, 2021","0.98527","0.79592","0.99496","0.78317","51.17M","23.67%"
"May 23, 2021","0.79670","0.95731","0.98611","0.62059","62.05M","-16.76%"
"May 22, 2021","0.95714","1.03875","1.04825","0.89035","48.27M","-8.01%"
"May 21, 2021","1.04049","1.15797","1.22259","0.89620","71.16M","-10.09%"
"May 20, 2021","1.15722","0.98960","1.19427","0.88858","70.14M","16.94%"
"May 19, 2021","0.98960","1.60110","1.63821","0.79799","87.59M","-38.18%"
"May 18, 2021","1.60087","1.46805","1.69817","1.44991","44.84M","9.10%"
"May 17, 2021","1.46732","1.56898","1.57232","1.39575","36.87M","-6.60%"
"May 16, 2021","1.57104","1.55044","1.69865","1.47515","33.44M","1.42%"
"May 15, 2021","1.54899","1.70473","1.72256","1.53606","33.24M","-9.14%"
"May 14, 2021","1.70473","1.61167","1.76586","1.59005","29.03M","5.76%"
"May 13, 2021","1.61193","1.63010","1.76716","1.51164","62.33M","-1.08%"
"May 12, 2021","1.62948","1.86408","2.03228","1.61566","60.18M","-12.59%"
"May 11, 2021","1.86408","1.73936","1.87849","1.66647","32.88M","7.27%"
"May 10, 2021","1.73777","1.95444","2.02302","1.65330","37.13M","-11.09%"
"May 09, 2021","1.95444","1.95461","1.99825","1.84031","26.70M","0.06%"
"May 08, 2021","1.95330","2.01308","2.06234","1.91189","31.72M","-3.00%"
"May 07, 2021","2.01366","2.05374","2.22042","1.94913","68.47M","-1.94%"
"May 06, 2021","2.05360","1.88084","2.09864","1.83837","64.52M","9.23%"
"May 05, 2021","1.88007","1.71645","1.89227","1.69326","33.64M","9.55%"
"May 04, 2021","1.71618","1.90236","1.90310","1.69235","37.35M","-9.78%"
"May 03, 2021","1.90231","1.86821","1.96832","1.85012","26.04M","1.82%"
"May 02, 2021","1.86823","1.94048","1.95910","1.80231","33.73M","-3.72%"
