"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2020","10.93","10.96","11.05","10.75","147.17K","-0.51%"
"Aug 13, 2020","10.98","10.60","11.16","10.59","300.52K","3.60%"
"Aug 12, 2020","10.60","10.49","10.95","10.16","349.75K","1.08%"
"Aug 11, 2020","10.49","10.67","10.97","10.23","355.88K","-1.74%"
"Aug 10, 2020","10.67","10.41","10.93","10.40","208.85K","2.57%"
"Aug 09, 2020","10.41","10.57","10.66","10.33","208.94K","-1.55%"
"Aug 08, 2020","10.57","10.40","10.64","10.32","307.35K","1.59%"
"Aug 07, 2020","10.40","10.70","10.98","10.31","286.83K","-2.74%"
"Aug 06, 2020","10.70","10.60","10.99","10.17","279.04K","0.90%"
"Aug 05, 2020","10.60","10.52","10.72","10.32","372.90K","0.81%"
"Aug 04, 2020","10.52","10.72","11.03","10.27","337.03K","-1.91%"
"Aug 03, 2020","10.72","10.32","10.83","10.30","372.66K","3.87%"
"Aug 02, 2020","10.32","11.40","12.18","10.22","402.59K","-9.47%"
"Aug 01, 2020","11.40","10.88","11.43","10.77","447.10K","4.81%"
"Jul 31, 2020","10.88","10.83","10.94","10.65","270.77K","0.43%"
"Jul 30, 2020","10.83","10.81","10.85","10.32","204.12K","0.16%"
"Jul 29, 2020","10.82","11.02","11.08","10.75","198.95K","-1.82%"
"Jul 28, 2020","11.02","10.72","11.38","10.57","382.22K","2.77%"
"Jul 27, 2020","10.72","10.01","10.85","9.97","338.58K","7.12%"
"Jul 26, 2020","10.01","9.89","10.33","9.85","230.87K","1.14%"
"Jul 25, 2020","9.89","9.59","9.90","9.58","162.12K","3.11%"
"Jul 24, 2020","9.59","9.75","9.78","9.57","172.67K","-1.60%"
"Jul 23, 2020","9.75","9.88","9.93","9.65","248.60K","-1.28%"
"Jul 22, 2020","9.88","9.67","9.93","9.56","194.96K","2.13%"
"Jul 21, 2020","9.67","9.28","9.87","9.26","248.12K","4.26%"
"Jul 20, 2020","9.28","9.40","9.44","9.27","240.25K","-1.28%"
"Jul 19, 2020","9.40","9.36","9.43","9.20","229.65K","0.35%"
"Jul 18, 2020","9.36","9.22","9.40","9.17","179.45K","1.56%"
"Jul 17, 2020","9.22","9.19","9.35","9.12","196.54K","0.34%"
"Jul 16, 2020","9.19","9.39","9.48","9.03","151.43K","-2.17%"
"Jul 15, 2020","9.39","9.58","9.64","9.25","205.14K","-1.98%"
"Jul 14, 2020","9.58","9.38","9.72","9.27","287.59K","2.13%"
"Jul 13, 2020","9.38","9.89","9.98","9.34","324.61K","-5.10%"
"Jul 12, 2020","9.89","9.68","10.15","9.68","236.04K","2.10%"
"Jul 11, 2020","9.68","9.28","9.84","9.26","290.87K","4.30%"
"Jul 10, 2020","9.28","9.47","9.51","9.12","191.91K","-1.95%"
"Jul 09, 2020","9.47","9.33","9.49","9.21","205.12K","1.51%"
"Jul 08, 2020","9.33","9.06","9.59","9.05","208.44K","2.91%"
"Jul 07, 2020","9.06","9.44","9.88","8.99","282.12K","-3.95%"
"Jul 06, 2020","9.44","8.92","9.49","8.73","345.39K","5.75%"
"Jul 05, 2020","8.92","9.33","9.37","8.54","324.15K","-4.39%"
"Jul 04, 2020","9.33","9.31","9.46","9.06","308.74K","0.23%"
"Jul 03, 2020","9.31","9.49","9.53","9.14","220.20K","-1.91%"
