"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 05, 2020","0.5986","0.5992","0.6049","0.5849","18.33M","-0.11%"
"Oct 04, 2020","0.5992","0.5917","0.6011","0.5770","14.26M","1.28%"
"Oct 03, 2020","0.5917","0.5984","0.6082","0.5874","16.47M","-1.11%"
"Oct 02, 2020","0.5983","0.6186","0.6189","0.5680","32.94M","-3.28%"
"Oct 01, 2020","0.6186","0.6279","0.6521","0.6057","26.43M","-1.44%"
"Sep 30, 2020","0.6276","0.6398","0.6404","0.6102","22.53M","-1.91%"
"Sep 29, 2020","0.6399","0.6392","0.6505","0.6151","22.03M","0.11%"
"Sep 28, 2020","0.6392","0.6621","0.6758","0.6375","32.80M","-3.46%"
"Sep 27, 2020","0.6621","0.6891","0.6949","0.6484","31.45M","-3.92%"
"Sep 26, 2020","0.6891","0.6529","0.7024","0.6487","37.44M","5.54%"
"Sep 25, 2020","0.6529","0.6355","0.6652","0.6236","34.73M","2.75%"
"Sep 24, 2020","0.6355","0.5798","0.6421","0.5728","42.66M","9.61%"
"Sep 23, 2020","0.5798","0.6475","0.6569","0.5784","42.29M","-10.50%"
"Sep 22, 2020","0.6478","0.6419","0.6569","0.6196","34.70M","0.93%"
"Sep 21, 2020","0.6418","0.7124","0.7266","0.6283","57.97M","-9.60%"
"Sep 20, 2020","0.7100","0.7688","0.7806","0.7017","7.94M","-7.66%"
"Sep 19, 2020","0.7688","0.8034","0.8171","0.7589","55.60M","-4.29%"
"Sep 18, 2020","0.8033","0.8315","0.8539","0.7911","72.75M","-3.38%"
"Sep 17, 2020","0.8314","0.8212","0.8543","0.7840","76.10M","1.15%"
"Sep 16, 2020","0.8220","0.7950","0.8934","0.7632","103.86M","3.39%"
"Sep 15, 2020","0.7950","0.8549","0.8756","0.7907","90.59M","-6.94%"
"Sep 14, 2020","0.8543","0.7697","0.8910","0.7445","103.76M","11.01%"
"Sep 13, 2020","0.7696","0.8091","0.8095","0.7275","62.37M","-4.93%"
"Sep 12, 2020","0.8095","0.8586","0.8613","0.7904","57.42M","-5.72%"
"Sep 11, 2020","0.8586","0.7657","0.8752","0.7257","82.49M","12.16%"
"Sep 10, 2020","0.7655","0.6814","0.7714","0.6705","52.66M","12.37%"
"Sep 09, 2020","0.6813","0.6745","0.6988","0.6493","50.46M","1.01%"
"Sep 08, 2020","0.6745","0.6367","0.6745","0.6146","72.04M","5.94%"
"Sep 07, 2020","0.6367","0.6449","0.6685","0.5829","57.44M","-1.31%"
"Sep 06, 2020","0.6451","0.6330","0.6584","0.5938","77.11M","1.91%"
"Sep 05, 2020","0.6330","0.6476","0.6935","0.6038","115.17M","-2.27%"
"Sep 04, 2020","0.6477","0.6110","0.6747","0.5765","125.73M","5.77%"
"Sep 03, 2020","0.6124","0.8082","0.8174","0.5558","91.72M","-24.24%"
"Sep 02, 2020","0.8083","0.8856","0.9033","0.7653","65.43M","-8.72%"
"Sep 01, 2020","0.8856","0.8821","0.9193","0.8717","72.43M","0.39%"
"Aug 31, 2020","0.8821","0.8880","0.9216","0.8688","65.41M","-0.68%"
"Aug 30, 2020","0.8882","0.9131","0.9638","0.8724","77.99M","-2.73%"
"Aug 29, 2020","0.9131","0.8378","0.9324","0.8258","60.44M","8.98%"
"Aug 28, 2020","0.8378","0.8411","0.8564","0.8242","52.39M","-0.39%"
"Aug 27, 2020","0.8411","0.8806","0.8917","0.8081","79.12M","-4.48%"
"Aug 26, 2020","0.8806","0.8306","0.9154","0.8129","96.01M","6.03%"
"Aug 25, 2020","0.8306","0.8906","0.8942","0.7915","59.09M","-6.74%"
"Aug 24, 2020","0.8906","0.8886","0.9198","0.8641","35.03M","0.21%"
"Aug 23, 2020","0.8888","0.9182","0.9348","0.8473","50.18M","-3.21%"
"Aug 22, 2020","0.9182","0.8371","0.9208","0.8000","87.61M","9.69%"
"Aug 21, 2020","0.8371","0.8549","1.0043","0.8335","124.33M","-2.09%"
"Aug 20, 2020","0.8549","0.7784","0.8615","0.7769","40.71M","9.83%"
"Aug 19, 2020","0.7784","0.8440","0.8656","0.7590","48.89M","-7.84%"
"Aug 18, 2020","0.8446","0.8890","0.9276","0.8228","50.06M","-4.98%"
"Aug 17, 2020","0.8889","0.8911","0.9443","0.8812","53.66M","-0.24%"
"Aug 16, 2020","0.8910","0.8302","0.9047","0.8052","49.12M","7.34%"
"Aug 15, 2020","0.8301","0.8288","0.8513","0.8023","34.96M","0.15%"
"Aug 14, 2020","0.8288","0.8065","0.8429","0.7970","55.94M","2.75%"
"Aug 13, 2020","0.8066","0.8179","0.8293","0.7638","56.04M","-1.33%"
"Aug 12, 2020","0.8175","0.7591","0.8298","0.7107","61.93M","7.67%"
"Aug 11, 2020","0.7593","0.8573","0.8657","0.7320","67.15M","-11.43%"
"Aug 10, 2020","0.8573","0.7974","0.8681","0.7816","57.33M","7.57%"
"Aug 09, 2020","0.7970","0.7272","0.8150","0.7154","43.65M","9.60%"
